artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
Drake,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,96,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69564318
Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,97,06HL4z0CvFAxyc27GXpf02,100,['pop'],63584715
Sam Smith,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,100,2wY79sveU1sp5g7SokKOiI,88,"['dance pop', 'pop', 'uk pop']",20949616
d4vd,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,93,5y8tKLUfMvliMe8IKamR32,80,['bedroom pop'],382572
Lil Uzi Vert,Just Wanna Rock,4FyesJzVpA39hbYvcseO2d,90,4O15NlyKLIASxsJ0PrXPfz,86,"['melodic rap', 'philly rap', 'rap', 'trap']",14141881
Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,89,40ZNYROS4zLfyyBSs2PGe2,82,['oklahoma country'],872425
Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,90,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69564318
Steve Lacy,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK,90,57vWImR43h4CaDao012Ofp,84,['afrofuturism'],2605443
Bad Bunny,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,95,4q3ewBCX7sLwd24euuV69X,98,"['reggaeton', 'trap latino']",60363645
Drake,Pussy & Millions (feat. Travis Scott),2KLwPaRDOB87XOYAT2fgxh,89,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69564318
Drake,Major Distribution,46s57QULU02Voy0Kup6UEb,89,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69564318
Bad Bunny,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,96,4q3ewBCX7sLwd24euuV69X,98,"['reggaeton', 'trap latino']",60363645
Morgan Wallen,You Proof,5uU1uuyaUIBOiiUSQG7Wl3,85,4oUHIQIBe0LHzYfvXNW4QM,85,"['contemporary country', 'country']",4452374
Drake,On BS,34tz0eDhGuFErIuW3q4mPX,88,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69564318
Taylor Swift,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,91,06HL4z0CvFAxyc27GXpf02,100,['pop'],63584715
SZA,Shirt,34ZAzO78a5DAVNrYIGWcPm,89,7tYKF4w9nC0nq9CsPZTHyP,84,"['pop', 'r&b', 'rap']",8989508
Taylor Swift,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,90,06HL4z0CvFAxyc27GXpf02,100,['pop'],63584715
David Guetta,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,97,1Cs0zKBU1kc0i8ypK3B9ai,89,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",25113344
OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,95,5Pwc4xIPtQLFEnJriah9YJ,84,"['piano rock', 'pop']",14660996
Future,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,88,1RyvyyTE3xzB2ZywiAwp0i,89,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",12601841
Steve Lacy,Bad Habit,4k6Uh1HXdhtusDW5y8Gbvy,88,57vWImR43h4CaDao012Ofp,84,['afrofuturism'],2605443
Drake,Spin Bout U,2ZL7WZcjuYKi1KUDtp4kCC,87,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69564318
JVKE,golden hour,5odlY52u43F5BjByhxg7wg,89,164Uj4eKjl6zTBKfJLFKKK,79,"['modern indie pop', 'pop']",1018143
Joji,Die For You,26hOm7dTtBi0TdpDGl141t,90,3MZsBdqDrRTJihTHQrO6Dq,86,['viral pop'],7533236
Meghan Trainor,Made You Look,0QHEIqNKsMoOY5urbzN48u,94,6JL8zeS1NmiOftqZTRgdTz,83,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",12300049
Drake,Circo Loco,7GeTsDIc5ykNB6lORO6Cee,87,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69564318
Post Malone,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,89,246dkjvS1zLTtiykXe5h60,88,"['dfw rap', 'melodic rap', 'rap']",39004516
Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,93,6KImCVD70vtIoJWnq6nGn3,90,['pop'],24764216
Taylor Swift,Maroon,3eX0NZfLtGzoLUxPNvRfqm,88,06HL4z0CvFAxyc27GXpf02,100,['pop'],63584715
Drake,Privileged Rappers,7l2nxyx7IkBX5orhkALg0V,86,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69564318
