danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.561,0.52,-9.342,0.244,0.0503,1.86E-06,0.355,0.424,153.15,1bDbXMyjaUIooNwFE9wn0N,239360,3
0.637,0.643,-6.571,0.0519,0.13,1.80E-06,0.142,0.533,97.008,0V3wPSX9ygBnCm8psDIegu,200690,4
0.714,0.472,-7.375,0.0864,0.013,4.51E-06,0.266,0.238,131.121,3nqQXoyQOWXiESFLlDF1hG,156943,4
0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,1xK59OXxi2TAAAbmZK0kBL,132631,4
0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4FyesJzVpA39hbYvcseO2d,123891,4
0.369,0.192,-12.151,0.04,0.555,8.35E-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,228013,3
0.529,0.673,-4.711,0.175,0.000307,2.41E-06,0.093,0.366,165.921,3F5CgOj3wFlRv51JsHbxhe,218365,4
0.686,0.507,-7.097,0.0357,0.626,7.51E-05,0.383,0.69,168.955,5CM4UuQ9Gnd6K2YyKGPMoK,232115,4
0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717,4
0.749,0.63,-6.652,0.116,0.0623,0,0.353,0.445,122.03,2KLwPaRDOB87XOYAT2fgxh,242027,4
0.908,0.546,-10.491,0.323,0.0127,0,0.0707,0.225,131.016,46s57QULU02Voy0Kup6UEb,170502,4
0.911,0.712,-5.105,0.0817,0.0901,2.68E-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,178567,4
0.731,0.85,-4.913,0.0336,0.252,0,0.605,0.644,119.706,5uU1uuyaUIBOiiUSQG7Wl3,157478,4
0.841,0.358,-8.368,0.591,0.0201,0,0.39,0.329,158.014,34tz0eDhGuFErIuW3q4mPX,261544,4
0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,5jQI2r1RdgtuT8S3iG8zFC,202396,4
0.824,0.453,-9.604,0.0968,0.146,0.0273,0.0896,0.552,119.959,34ZAzO78a5DAVNrYIGWcPm,181831,4
0.643,0.363,-11.738,0.0767,0.69,5.17E-05,0.115,0.23,139.865,3rWDp9tBPQR9z6U5YyRSK4,174783,4
0.561,0.965,-3.673,0.0343,0.00383,7.07E-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238,4
0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486,4
0.463,0.642,-4.474,0.34,0.314,0,0.0686,0.339,83.389,59nOXPmaKlBfGMDeOVGrIK,189893,4
0.686,0.494,-7.093,0.0355,0.613,5.80E-05,0.402,0.7,168.946,4k6Uh1HXdhtusDW5y8Gbvy,232067,4
0.773,0.701,-6.386,0.0512,0.01,0,0.163,0.203,129.963,2ZL7WZcjuYKi1KUDtp4kCC,214589,4
0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,5odlY52u43F5BjByhxg7wg,209260,3
0.472,0.518,-7.379,0.051,0.383,0.127,0.289,0.154,147.805,26hOm7dTtBi0TdpDGl141t,211667,4
0.838,0.525,-3.562,0.0665,0.345,1.92E-06,0.0771,0.884,144.981,0QHEIqNKsMoOY5urbzN48u,134256,4
0.734,0.605,-8.476,0.0699,0.0102,0,0.317,0.252,103.976,7GeTsDIc5ykNB6lORO6Cee,236795,4
0.733,0.67,-6.009,0.0751,0.121,0,0.121,0.472,100.964,0O6u0VJ46W86TxN9wgyqDj,192841,4
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303,4
0.637,0.398,-8.294,0.0564,0.0573,1.03E-06,0.101,0.0374,108.075,3eX0NZfLtGzoLUxPNvRfqm,218271,4
0.934,0.614,-7.384,0.198,0.00274,0,0.123,0.616,144.045,7l2nxyx7IkBX5orhkALg0V,160821,4
0.78,0.689,-5.668,0.141,0.0368,9.69E-06,0.0698,0.642,115.042,1xzi1Jcr7mEi9K2RfzLOqS,225389,4
0.638,0.634,-6.582,0.0457,0.133,1.23E-06,0.152,0.519,96.953,02Zkkf2zMkwRGQjZ7T4p8f,200690,4
0.801,0.475,-8.797,0.0516,0.141,1.73E-05,0.0639,0.234,98.047,5Eax0qFko2dh7Rl2lYs3bx,213061,4
0.642,0.533,-7.45,0.266,0.0104,0.000108,0.251,0.112,120.041,45pUWUeEWGoSdH6UF162G8,225439,4
0.663,0.319,-13.481,0.0375,0.69,0.000993,0.117,0.193,109.957,1wtOxkiel43cVs0Yux5Q4h,256124,4
0.714,0.728,-4.595,0.0468,0.298,0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,177955,4
0.642,0.62,-7.091,0.0666,0.0734,0,0.483,0.0969,90.02,7KokYm8cMIXCsGVmUvKtqf,204852,4
0.483,0.84,-6.508,0.119,0.43,0.000575,0.146,0.55,157.979,0aV5uARAknQgYhBaK944FP,260362,4
0.696,0.396,-10.289,0.0656,0.401,5.20E-06,0.125,0.38,120.041,4D7BCuvgdJlYvlX5WlN54t,194207,4
0.697,0.336,-10.395,0.0424,0.598,0.00528,0.107,0.31,82.029,2TktkzfozZifbQhXjT6I33,216680,3
0.582,0.568,-7.3,0.0275,0.577,0,0.105,0.394,121.991,4686eQ81DEswHa90bcdlC9,207541,3
0.574,0.469,-8.209,0.0254,0.534,9.21E-05,0.128,0.288,132.023,78Sw5GDo6AlGwTwanjXbGh,242485,4
0.696,0.559,-9.19,0.0693,0.0618,5.58E-05,0.0887,0.433,163.999,3qoftcUZaUOncvIYjFSPdE,194166,4
0.636,0.377,-11.721,0.0708,0.71,6.51E-05,0.115,0.23,139.966,6Nl7KyvjkFncGsjB49SxLl,174783,4
0.735,0.444,-10.519,0.0684,0.204,0.0012,0.17,0.0984,97.038,4g2c7NoTWAOSYDy44l9nub,202396,4
0.849,0.433,-8.434,0.316,0.0407,0,0.388,0.395,142.11,0wshkEEcJUQU33RSRBb5dv,152962,4
0.658,0.378,-8.3,0.0379,0.0593,0,0.0976,0.0382,108.034,199E1RRrVmVTQqBXih5qRC,218271,4
0.44,0.317,-9.258,0.0531,0.891,4.78E-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,233456,3
0.335,0.305,-12.661,0.0741,0.434,0.631,0.101,0.215,79.001,4OmfWzukSVD140NiAIEjem,156507,5
0.835,0.679,-5.329,0.0364,0.583,1.98E-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638,4
0.694,0.38,-10.307,0.0614,0.416,8.47E-06,0.126,0.376,120.044,7gVWKBcfIW93YxNBi3ApIE,194207,4
0.573,0.741,-8.987,0.0353,0.219,2.23E-05,0.0842,0.554,96.016,3UMrglJeju5yWyYIW6o99b,240356,4
0.649,0.622,-7.054,0.0582,0.074,0,0.594,0.106,90.024,5oqDgw5VGBln5dSIOPWyBq,204852,4
0.801,0.601,-7.574,0.255,0.0777,3.23E-05,0.145,0.74,159.969,0hquQWY3xvYqN4qtiquniF,182907,4
0.7,0.55,-9.13,0.0653,0.0661,0.000102,0.091,0.412,164.003,0jvo9CjnbR0lYUDTSNTMiu,194166,4
0.798,0.277,-11.096,0.39,0.173,5.25E-05,0.121,0.163,79.846,1xwAWUI6Dj0WGC3KiUPN0O,164801,4
0.804,0.674,-5.453,0.0333,0.294,1.18E-06,0.115,0.292,99.968,6Xom58OOXk2SoU711L2IXO,245940,4
0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007,73vIOb4Q7YN6HeJTbscRx5,206000,4
0.422,0.235,-12.379,0.0568,0.826,0.00648,0.115,0.068,165.71,0BiqmkasE5FdrChwKfVp8X,218503,4
0.501,0.403,-11.106,0.119,0.234,0,0.267,0.111,118.352,0sSRLXxknVTQDStgU1NqpY,399154,4
0.751,0.502,-8.777,0.162,0.226,0,0.297,0.112,108.989,6C7OF1Jal7YkyjzyUG8vkK,210557,4
0.7,0.509,-10.547,0.0789,0.112,3.27E-05,0.137,0.345,110.947,7712gjoih4QoDbXpljEk21,196259,4
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4Dvkj6JhhA12EX05fT7y2e,167303,4
0.659,0.323,-13.425,0.0436,0.735,0.00321,0.116,0.154,110.007,6ADDIJxxqzM9LMpm78yzQG,256124,4
0.647,0.686,-5.745,0.0413,0.08,1.34E-06,0.528,0.268,79.928,3k3NWokhRRkEPhCzPmV8TW,258299,4
0.624,0.332,-9.989,0.0365,0.597,0.000679,0.195,0.397,96.864,2d3d9xZutJjmUpntiyHt3F,196473,4
0.87,0.279,-11.134,0.364,0.16,1.74E-05,0.121,0.16,79.996,5yeuXkukVGuix3vmLu2BPJ,164801,4
0.95,0.891,-2.653,0.241,0.0645,1.77E-05,0.309,0.912,133.01,4C6Uex2ILwJi9sZXRdmqXp,170977,4
0.661,0.352,-14.077,0.117,0.571,0.00147,0.0884,0.13,125.934,56hioFjQ0DXrdn04hZcFgG,191039,4
0.607,0.912,-3.449,0.0611,0.124,0,0.332,0.722,134.944,200x8ONbPfFzByUr3fVz46,206107,4
0.247,0.299,-6.083,0.0315,0.899,0,0.131,0.172,177.115,35ovElsgyAtQwYPYnZJECg,196520,4
0.791,0.818,-3.93,0.406,0.0695,0,0.114,0.693,159.922,7KXVIAuw3m2hxZanrpSXS3,209811,4
0.633,0.548,-5.634,0.0467,0.269,0,0.16,0.35,160.011,2RJAKIw6nIkgZVsAIKhmqz,192000,4
0.594,0.527,-9.335,0.0335,0.121,0,0.234,0.692,172.712,5JhUm1v5AbI5Yu6jLKCPRO,194019,4
0.617,0.378,-8.54,0.0315,0.428,9.16E-05,0.11,0.22,141.967,3XgGQ1wjo5khvq2UImjyNF,216063,4
0.646,0.529,-10.179,0.0864,0.723,0,0.0885,0.755,87.862,5kiZGSxgqPdv6rbqL9THdd,231475,4
0.751,0.502,-8.763,0.167,0.2,0,0.296,0.106,108.943,0heeNYlwOGuUSe7TgUD27B,210557,4
0.876,0.498,-7.511,0.0478,0.0706,0,0.143,0.428,122.016,31i56LZnwE6uSu3exoHjtB,173119,4
0.412,0.236,-15.159,0.0379,0.83,0.00653,0.147,0.119,140.214,3GYlZ7tbxLOxe6ewMNVTkw,281381,4
0.529,0.695,-6.174,0.0278,0.488,1.24E-05,0.142,0.514,139.993,6NHpyYvJyQsg2nXXzGYc2R,215572,4
0.799,0.575,-6.257,0.282,0.221,0,0.196,0.319,99.026,2ZlABhxMMa43COmZ97kKsJ,137151,4
0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,0WtM2NBVQNNJLh6scP13H8,239318,4
0.612,0.58,-8.572,0.0419,0.525,0.000414,0.26,0.534,130.045,7JMEygbMqow8a4iK79yNr7,239560,4
0.626,0.79,-4.302,0.0311,0.135,3.97E-06,0.0989,0.416,119.082,28iZJr3XBJGz3ye0RpQWZZ,235767,4
